,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH-01,"ME-01;0.5,0.5",ME-JU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY-JU,"VT-JU;0,0.5",VT-SE,"NH-02;0,0",ME-02,ME-SE,
WA-02,,WA-01,WA-SE,WA-05,,"MT-00;0,0.5",WY-00,ND-00,"ND-JU;0,0",ND-SE,,,,,,,,,,MN-07,MN-06,MN-08,MN-SE,WI-08,MI-01,MI-02,MI-04,MI-12,,,,,,,,NY-20,NY-22,NY-21,VT-00,NH-JU,NH-SE,,,
WA-06,WA-07,"WA-09;0,0",WA-08,WA-JU,ID-01,MT-JU,"WY-JU;0,0.5",SD-00,"SD-JU;0,0",SD-SE,,,,,,,,,,MN-JU,"MN-03;0,0",MN-05,WI-07,WI-05,WI-SE,MI-03,"MI-14;0.5,0.5",MI-08,MI-11,,,,,,NY-24,NY-18,NY-18,NY-19,MA-01,MA-03,"MA-05;0.5,0.5",MA-07,MA-SE,
OR-01,WA-10,WA-03,WA-04,OR-SE,"ID-JU;0,0",MT-SE,WY-SE,,,,,,,,,,,,,MN-01,MN-02,MN-04,WI-JU,"WI-06;0,0",WI-04,MI-06,MI-JU,MI-09,MI-10,MI-05,,,,NY-SE,NY-14,"NY-15;0,0.5",NY-16,NY-17,MA-02,MA-04,MA-06,MA-08,MA-JU,MA-09
OR-04,OR-03,"OR-05;0,0",OR-JU,OR-02,ID-SE,ID-02,,,,,,,,,,,,,,,IA-04,IA-01,WI-03,WI-02,WI-01,MI-07,MI-SE,MI-13,OH-05,OH-09,OH-11,NY-26,NY-25,NY-08,NY-09,NY-10,NY-12,NY-13,CT-05,"CT-01;0,0.5",CT-02,"RI-01;0.5,0.5",RI-JU,
CA-05,CA-03,CA-02,CA-01,,,,,,,,,,,,,,,,,,"IA-JU;0.5,0",IA-SE,IL-17,IL-16,IL-14,IL-01,IN-01,IN-02,OH-04,OH-JU,OH-14,NY-27,NY-23,NY-03,NY-04,NY-05,NY-06,NY-07,CT-04,CT-03,CT-JU,RI-02,RI-SE,
CA-06,CA-07,CA-09,CA-04,,,,,,,,,,,,,,,,,,IA-03,IA-02,IL-18,"IL-04;0.5,0.5",IL-03,IL-02,"IN-04;0.5,0.5",IN-03,OH-08,"OH-16;0,0.5",OH-13,PA-05,PA-10,PA-11,PA-15,PA-17,NY-02,NY-01,CT-SE,,,,,
CA-12,CA-11,CA-10,CA-08,,,,,,,,,,,,,,,,,,,,IL-13,IL-06,IL-05,IL-07,IN-07,IN-05,OH-10,OH-03,OH-12,PA-03,PA-SE,"PA-JU;0,0.5",PA-06,PA-08,NJ-05,NJ-07,NJ-06,,,,,
CA-13,CA-14,CA-15,CA-16,,,,,,,,,,,,,,,,,,,,,IL-09,IL-08,IL-10,IN-08,IN-06,OH-01,OH-07,OH-06,PA-14,PA-13,PA-07,PA-01,PA-02,NJ-JU,NJ-08,NJ-10,,,,,
CA-17,"CA-18;0.5,0.5",CA-19,CA-20,"NV-02;0.5,0.5",NV-04,UT-01,,,,,,,,,,,,,,,,,,IL-SE,IL-11,IL-15,IN-JU,IN-09,OH-02,OH-15,OH-SE,PA-18,PA-12,PA-09,PA-04,PA-16,"NJ-SE;0.5,0",NJ-09,,,,,,
CA-21,CA-22,CA-23,CA-24,NV-JU,NV-SE,UT-SE,,,,NE-03,"NE-01;0.5,0.5",NE-02,,,,,,,,,,,,,IL-12,IL-JU,IN-SE,"WV-JU;0.5,0.5",WV-01,MD-02,MD-03,"MD-04;0.5,0",MD-05,MD-07,MD-08,DE-00,NJ-04,NJ-11,,,,,,
CA-25,CA-26,CA-27,CA-28,CA-SE,NV-01,"UT-04;0.5,0.5",UT-JU,CO-02,CO-01,CO-07,NE-SE,NE-JU,,,,MO-06,MO-03,,,,,,,,,,KY-04,WV-SE,WV-02,MD-06,VA-10,VA-11,VA-08,VA-02,MD-01,"DE-JU;0,0",NJ-01,NJ-12,,,,,,
CA-JU,CA-29,CA-30,CA-31,CA-32,NV-03,UT-02,UT-03,CO-JU,"CO-SE;0,0",CO-06,KS-01,"KS-JU;0,0.5",KS-03,,,"MO-05;0.5,0.5",MO-01,,,,,,,,,KY-03,"KY-SE;0,0.5",KY-06,WV-03,VA-06,"VA-07;0.5,0",VA-01,VA-SE,,MD-SE,DE-SE,NJ-02,NJ-03,,,,,,
CA-33,CA-34,CA-35,CA-37,CA-38,CA-39,AZ-04,AZ-01,CO-03,CO-05,CO-04,KS-02,KS-SE,KS-04,,,MO-04,MO-02,MO-JU,,,,,,,KY-01,KY-02,KY-JU,KY-05,VA-09,VA-05,VA-04,VA-03,VA-JU,,MD-JU,,,,,,,,,
,CA-40,CA-43,CA-44,CA-45,CA-46,AZ-JU,AZ-SE,"NM-03;0.5,0.5",NM-JU,TX-13,TX-JU,OK-03,"OK-04;0.5,0.5",OK-01,OK-02,MO-07,MO-SE,MO-08,MS-01,,TN-08,TN-06,"TN-03;0,0.5",TN-02,TN-01,NC-09,NC-05,NC-12,"NC-06;0,0.5",NC-01,NC-13,NC-03,NC-SE,,,,,,,,,,,
,,CA-47,CA-48,CA-42,CA-41,"AZ-08;0.5,0",AZ-06,NM-01,NM-SE,TX-19,TX-SE,,OK-SE,OK-05,OK-JU,AR-03,"AR-SE;0,0.5",AR-01,MS-02,TN-SE,TN-09,TN-JU,TN-07,TN-05,TN-04,NC-11,NC-10,NC-JU,NC-04,NC-08,NC-02,NC-07,,,,,,,,,,,,
,,,CA-53,CA-49,CA-36,AZ-07,AZ-05,NM-02,TX-11,TX-12,TX-04,TX-01,TX-36,TX-29,TX-07,AR-04,AR-JU,AR-02,"MS-JU;0,0.5",AL-04,AL-JU,GA-13,GA-05,GA-06,GA-07,GA-11,GA-09,SC-03,"SC-04;0,0.5",SC-07,SC-05,,,,,,,,,,,,,
,,,CA-52,CA-50,CA-51,AZ-03,AZ-09,TX-16,TX-23,TX-26,"TX-03;0.5,0",TX-17,TX-10,TX-02,TX-05,LA-04,"LA-JU;0,0.5",LA-05,MS-SE,AL-06,"AL-SE;0,0.5",AL-05,GA-03,GA-04,"GA-SE;0,0",GA-14,GA-10,SC-02,SC-SE,SC-06,,,,,,,,,,,,,,
,,,,,,,AZ-02,TX-20,TX-25,TX-30,TX-32,TX-33,TX-35,TX-18,TX-09,LA-03,LA-06,LA-02,MS-03,AL-07,AL-03,AL-02,GA-02,GA-08,GA-01,GA-JU,GA-12,SC-JU,SC-01,,,,,,,,,,,,,,,
AK-00,"AK-JU;0,0.5",,,,,,,,TX-28,TX-22,TX-06,TX-34,TX-08,TX-14,,,LA-SE,LA-01,MS-04,AL-01,FL-01,FL-02,FL-04,FL-05,FL-06,FL-07,,,,,,,,,,,,,,,,,,
,AK-SE,,,HI-01,,,,,TX-21,,,TX-31,TX-27,,,,,,,,,FL-03,,FL-SE,FL-11,FL-JU,FL-08,FL-16,,,,,,,,,,,,,,,,
,,,,,"HI-SE;0.5,0",HI-JU,,,TX-24,,,TX-15,,,,,,,,,,,,,FL-12,FL-10,"FL-09;0.5,0.5",FL-15,FL-19,,,,,,,,,,,,,,,
,,,,,,,HI-02,,,,,,,,,,,,,,,,,,,FL-13,FL-14,FL-18,FL-22,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FL-17,FL-20,FL-23,FL-21,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FL-24,FL-25,FL-26,,,,,,,,,,,,,,,
